|name              |ra        |dec      |flux_1_100_gev|flux_1_100_gev_error|detection_significance|spectrum_type   |alt_gammaray_name_1|assoc_name                  |analysis_flags|
|4FGL J0154.6+0051 |01 54 38.6|+00 51 43|    6.9329e-11|          2.8436e-11|                3.5303|PowerLaw        |                   |                            |          4096|
|4FGL J0156.3-2420 |01 56 18.6|-24 20 04|    2.4158e-10|          3.2869e-11|               11.0336|PowerLaw        |3FGL J0156.5-2423  |                            |           000|
|4FGL J0158.4+1230 |01 58 28.2|+12 30 12|    7.9155e-11|          3.1182e-11|                3.1752|PowerLaw        |                   |                            |          4096|
|4FGL J0159.0+3313 |01 59 04.0|+33 13 03|    1.6736e-10|          3.3353e-11|                6.7936|PowerLaw        |                   |                            |           000|
|4FGL J0159.8-2234 |01 59 48.1|-22 34 34|    7.7287e-11|          2.2082e-11|                4.9268|PowerLaw        |                   |                            |           000|
|4FGL J0202.4+2943 |02 02 28.9|+29 43 45|    1.8569e-10|          3.4817e-11|                7.3255|PowerLaw        |                   |                            |           000|
|4FGL J0203.9+8120 |02 03 58.6|+81 20 05|    1.4734e-10|          3.1328e-11|                5.6257|PowerLaw        |                   |                            |           000|
|4FGL J0204.7+6656 |02 04 46.9|+66 56 14|    7.4025e-10|          8.2632e-11|               10.9595|LogParabola     |                   |                            |           004|
|4FGL J0207.2-1832 |02 07 13.4|-18 32 37|    1.0539e-10|          2.6297e-11|                4.4266|PowerLaw        |                   |                            |           000|
|4FGL J0209.8+2626 |02 09 51.4|+26 26 01|    1.6284e-10|          3.4035e-11|                5.4712|PowerLaw        |                   |                            |           000|
|4FGL J1320.5-6256c|13 20 33.0|-62 56 42|    4.1493e-10|          1.6101e-10|                2.3005|PowerLaw        |1FGL J1320.6-6258c |                            |          4128|
|4FGL J0215.0-5330 |02 15 02.4|-53 30 01|    8.8686e-11|          2.3901e-11|                4.5629|PowerLaw        |                   |                            |           000|
|4FGL J0220.1+1155 |02 20 09.9|+11 55 04|    4.7199e-11|          2.3439e-11|                4.1066|PowerLaw        |                   |                            |           000|
|4FGL J0222.7+5016 |02 22 44.5|+50 16 16|    1.8926e-10|          3.8997e-11|                6.8100|PowerLaw        |                   |                            |           000|
|4FGL J0224.8+2937 |02 24 51.4|+29 37 45|    1.3497e-10|          3.1915e-11|                5.2028|PowerLaw        |                   |                            |           001|
|4FGL J0225.5-5530 |02 25 31.8|-55 30 18|    2.6935e-10|          4.3133e-11|                8.2334|PowerLaw        |                   |                            |           000|
|4FGL J0226.9+7744 |02 26 58.9|+77 44 25|    1.1111e-10|          3.2552e-11|                4.7446|PowerLaw        |                   |                            |           000|
|4FGL J0230.3+1713 |02 30 23.4|+17 13 21|    2.5150e-10|          4.8065e-11|                5.8201|PowerLaw        |                   |                            |           000|
|4FGL J0230.4-1140 |02 30 27.5|-11 40 04|    5.5287e-11|          2.3339e-11|                4.1058|PowerLaw        |                   |                            |           000|
|4FGL J0231.0+3505 |02 31 05.9|+35 05 59|    7.3707e-11|          2.5505e-11|                4.2668|PowerLaw        |                   |                            |           000|
|4FGL J0235.3+5650 |02 35 23.5|+56 50 52|    6.8852e-10|          7.6909e-11|               12.1876|LogParabola     |3FGL J0235.7+5647  |                            |           000|
|4FGL J0237.8+5238 |02 37 53.6|+52 38 05|    1.3380e-09|          8.2771e-11|               23.4893|LogParabola     |3FGL J0238.0+5237  |                            |           000|
|4FGL J0238.1-2621 |02 38 12.0|-26 21 44|    1.0980e-10|          2.6144e-11|                5.5619|PowerLaw        |                   |                            |           000|
|4FGL J0239.1+6634 |02 39 08.2|+66 34 47|    3.0992e-10|          5.8418e-11|                5.1752|PowerLaw        |                   |                            |           000|
|4FGL J0240.2-0248 |02 40 12.8|-02 48 31|    1.4576e-10|          3.0871e-11|                5.9983|PowerLaw        |3FGL J0240.0-0253  |                            |           000|
|4FGL J0245.0+4755 |02 45 03.8|+47 55 09|    1.4378e-10|          3.4077e-11|                4.3263|PowerLaw        |3FGL J0244.4+4745  |                            |           000|
|4FGL J0246.0-4838 |02 46 05.4|-48 38 32|    8.2663e-11|          2.3965e-11|                4.4308|PowerLaw        |                   |                            |           000|
|4FGL J0251.1-1830 |02 51 08.0|-18 30 33|    1.4264e-10|          3.1703e-11|               10.5878|LogParabola     |3FGL J0251.1-1829  |                            |           000|
|4FGL J0251.6+0628 |02 51 36.1|+06 28 16|    1.7341e-10|          3.9801e-11|                4.7755|PowerLaw        |                   |                            |           000|
|4FGL J0252.0-3657 |02 52 04.1|-36 57 44|    9.6251e-11|          2.4887e-11|                4.7980|PowerLaw        |                   |                            |           000|
